"Y"	"L"	"Env"	"t.j"	"r.i"	"Group"	"G"	"GG"	"ari.mean"	"adj.mean"	"w"
"1"	"2001"	"Barisal"	"2001-Barisal"	2001	1976	"Aromatic"	"BR5"	"Aromatic-BR5"	2.47666666666667	2.47666666666667	58.9263460216115
"2"	"2001"	"Barisal"	"2001-Barisal"	2001	1997	"Aromatic"	"BRRI dhan34"	"Aromatic-BRRI dhan34"	2.22666666666667	2.22666666666667	58.9263460216116
"3"	"2001"	"Barisal"	"2001-Barisal"	2001	1998	"Aromatic"	"BRRI dhan37"	"Aromatic-BRRI dhan37"	2.35	2.35	58.9263460216116
"4"	"2001"	"Barisal"	"2001-Barisal"	2001	1998	"Aromatic"	"BRRI dhan38"	"Aromatic-BRRI dhan38"	2.62333333333333	2.62333333333334	58.9263460216115
"5"	"2001"	"Barisal"	"2001-Barisal"	2001	1980	"Long"	"BR10"	"Long-BR10"	3.87333333333333	3.87333333333334	58.9263460216114
"6"	"2001"	"Barisal"	"2001-Barisal"	2001	1988	"Long"	"BR22"	"Long-BR22"	4.23666666666667	4.23666666666667	58.9263460216115
"7"	"2001"	"Barisal"	"2001-Barisal"	2001	1988	"Long"	"BR23"	"Long-BR23"	4.71	4.71	58.9263460216115
"8"	"2001"	"Barisal"	"2001-Barisal"	2001	1980	"Medium"	"BR11"	"Medium-BR11"	3.74333333333333	3.74333333333333	58.9263460216116
"9"	"2001"	"Barisal"	"2001-Barisal"	2001	1992	"Medium"	"BR25"	"Medium-BR25"	4.08666666666667	4.08666666666667	58.9263460216115
"10"	"2001"	"Barisal"	"2001-Barisal"	2001	1973	"Medium"	"BR3"	"Medium-BR3"	2.18666666666667	2.18666666666667	58.9263460216115
"11"	"2001"	"Barisal"	"2001-Barisal"	2001	1975	"Medium"	"BR4"	"Medium-BR4"	3.511472077	3.511472077	58.9263460216115
"12"	"2001"	"Barisal"	"2001-Barisal"	2001	1994	"Medium"	"BRRI dhan30"	"Medium-BRRI dhan30"	4.00333333333333	4.00333333333333	58.9263460216116
"13"	"2001"	"Barisal"	"2001-Barisal"	2001	1994	"Medium"	"BRRI dhan31"	"Medium-BRRI dhan31"	3.33	3.33	58.9263460216116
"14"	"2001"	"Barisal"	"2001-Barisal"	2001	1994	"Medium"	"BRRI dhan32"	"Medium-BRRI dhan32"	4.2	4.2	58.9263460216115
"15"	"2001"	"Barisal"	"2001-Barisal"	2001	1997	"Short"	"BRRI dhan33"	"Short-BRRI dhan33"	2.72	2.72	58.9263460216115
"16"	"2001"	"Barisal"	"2001-Barisal"	2001	1999	"Short"	"BRRI dhan39"	"Short-BRRI dhan39"	2.83	2.83	58.9263460216116
"17"	"2001"	"Comilla"	"2001-Comilla"	2001	1976	"Aromatic"	"BR5"	"Aromatic-BR5"	2.88856589133333	2.88856589133333	17.8518263576516
"18"	"2001"	"Comilla"	"2001-Comilla"	2001	1997	"Aromatic"	"BRRI dhan34"	"Aromatic-BRRI dhan34"	2.664224806	2.664224806	17.8518263576516
"19"	"2001"	"Comilla"	"2001-Comilla"	2001	1998	"Aromatic"	"BRRI dhan37"	"Aromatic-BRRI dhan37"	3.14418604633333	3.14418604633333	17.8518263576516
"20"	"2001"	"Comilla"	"2001-Comilla"	2001	1998	"Aromatic"	"BRRI dhan38"	"Aromatic-BRRI dhan38"	2.94374031033333	2.94374031033334	17.8518263576516
"21"	"2001"	"Comilla"	"2001-Comilla"	2001	1980	"Long"	"BR10"	"Long-BR10"	4.92455426366667	4.92455426366667	17.8518263576516
"22"	"2001"	"Comilla"	"2001-Comilla"	2001	1988	"Long"	"BR22"	"Long-BR22"	5.240736434	5.240736434	17.8518263576516
"23"	"2001"	"Comilla"	"2001-Comilla"	2001	1988	"Long"	"BR23"	"Long-BR23"	5.042248062	5.042248062	17.8518263576516
"24"	"2001"	"Comilla"	"2001-Comilla"	2001	1980	"Medium"	"BR11"	"Medium-BR11"	4.65246124	4.65246124	17.8518263576516
"25"	"2001"	"Comilla"	"2001-Comilla"	2001	1992	"Medium"	"BR25"	"Medium-BR25"	3.91641472866667	3.91641472866667	17.8518263576516
"26"	"2001"	"Comilla"	"2001-Comilla"	2001	1973	"Medium"	"BR3"	"Medium-BR3"	2.90748062033333	2.90748062033333	17.8518263576516
"27"	"2001"	"Comilla"	"2001-Comilla"	2001	1975	"Medium"	"BR4"	"Medium-BR4"	3.496296538	3.496296538	17.8518263576516
"28"	"2001"	"Comilla"	"2001-Comilla"	2001	1994	"Medium"	"BRRI dhan30"	"Medium-BRRI dhan30"	4.86899224833333	4.86899224833333	17.8518263576516
"29"	"2001"	"Comilla"	"2001-Comilla"	2001	1994	"Medium"	"BRRI dhan31"	"Medium-BRRI dhan31"	4.64131782933333	4.64131782933333	17.8518263576516
"30"	"2001"	"Comilla"	"2001-Comilla"	2001	1994	"Medium"	"BRRI dhan32"	"Medium-BRRI dhan32"	4.568081395	4.568081395	17.8518263576516
"31"	"2001"	"Comilla"	"2001-Comilla"	2001	1997	"Short"	"BRRI dhan33"	"Short-BRRI dhan33"	2.86531007766667	2.86531007766667	17.8518263576516
"32"	"2001"	"Comilla"	"2001-Comilla"	2001	1999	"Short"	"BRRI dhan39"	"Short-BRRI dhan39"	3.941375969	3.941375969	17.8518263576516
"33"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1976	"Aromatic"	"BR5"	"Aromatic-BR5"	3.951744186	3.951744186	30.9138837730949
"34"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1997	"Aromatic"	"BRRI dhan34"	"Aromatic-BRRI dhan34"	3.13046511633333	3.13046511633333	30.913883773095
"35"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1998	"Aromatic"	"BRRI dhan37"	"Aromatic-BRRI dhan37"	2.91728682166667	2.91728682166667	30.913883773095
"36"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1998	"Aromatic"	"BRRI dhan38"	"Aromatic-BRRI dhan38"	3.34604651166667	3.34604651166667	30.9138837730949
"37"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1980	"Long"	"BR10"	"Long-BR10"	3.97496124033333	3.97496124033334	30.9138837730949
"38"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1988	"Long"	"BR22"	"Long-BR22"	3.925465116	3.925465116	30.9138837730949
"39"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1988	"Long"	"BR23"	"Long-BR23"	4.418682171	4.418682171	30.9138837730949
"40"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1980	"Medium"	"BR11"	"Medium-BR11"	3.53581395366667	3.53581395366667	30.913883773095
"41"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1992	"Medium"	"BR25"	"Medium-BR25"	4.41178294566667	4.41178294566667	30.9138837730949
"42"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1973	"Medium"	"BR3"	"Medium-BR3"	4.12248062	4.12248062	30.9138837730949
"43"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1975	"Medium"	"BR4"	"Medium-BR4"	3.623079003	3.623079003	30.9138837730949
"44"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1994	"Medium"	"BRRI dhan30"	"Medium-BRRI dhan30"	4.12341085266667	4.12341085266667	30.913883773095
"45"	"2001"	"Gazipur"	"2001-Gazipur"	2001	1994	"Medium"	"BRRI dhan31"	"Medium-BRRI dhan31"	4.96996124033333	4.96996124033333	30.913883773095
